TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,901,5775,8718,1411,3091,4019,2740,2511,1325,18.74,22.28,111.77,121.14,815.86,77.37,4676.14,1180.33,792.38,553.19,777.1,1521.17,747.88,661.47,14893.71,8986.85,7858.62,7500.08,32439.56,3131.04,3066.87,1929.35,7643.03,3179.09,7143.96,9270.56,6210.88,1831.86,11367.09,16160.22,2796.79,2654.26,3301.38,3512.68,5306.63,4300.48,9001.17,4065.52,2081.81,6035.53,2052.73,3132.62,2253.67,2562.26,7423.19,3828.65,5381.01,1415.41,2880.44,3883.4,1915.28,2026.18,89.96,316.53,459.39,445.49,1171.44,274.41,114.64,300.58,115.49,347.46,530.84,549.93,3730.73,8091.42,2600.57,3564.86,85.42,80266.56,3233.73,4531.8,4775.78,6912.57,4469.96,4195.13,10505.46,5761.03,5162.83,2934.09,10237.55,8811.75,4575.14,9601.82,8485.08,1729.46,22058.95,3601.31,7549.28,16537.49,698.58,1786.17,300.94,277.94,541.61,230.74,303.24,480.73,1641.91,6010.74,8391.07,416.97,2515.26,21605.03,2677.36,488.84,5026.73,4637.71,871.68,2109.75,4596.01,2361.05,2088.24,1615.88,10511.34,2268.56,9514.06,7117.57,1692.41,2743.65,9937.1,1266.92,2906.7,1346.37,322.3,686,1053,626,1930,4665,1709,4185,7975,8214,718,6539,2014,2089,458.72,1171.32,2598.35,283.17,96.13,161.21,221.07,302.92,139.58,89.73,114.44,1463.18,79.72,150.92,611.89,882.51,1670.08,920.51,597.85,664.15,1838.42,1995.15,816,3591.41,1772.72,1778.09,2177.81,1486.81,958.36,1989.58,3970.86,3339.74,3863.15,1265.67,2466.45,2225.21,3418.48,6265.39,4190.39,2711,5757.67,5421.77,4897.58,2672.66,7152.98,2574.84,1042.48,2756.6,2788.2,1839.61,3509.69,5350.28,2187.21,1644.2,4014.62,20155.02
2012,948,4952,9121,1455,3005,4236,2527,2582,1274,17.57,44.67,116.2,121.6,820.42,50.19,4738.72,1243.47,800.79,589.61,938.65,1578.95,889.1,756.45,15022.65,9693.61,8019.21,7486.28,32029,3230.98,4096.42,2317.85,6765.68,3090.53,6316.6,9192.21,6854.16,2646.78,9633.04,14846.29,2679.8,3060.44,3777.52,3542.64,5312.58,4263.24,8939.74,3752.89,1974.25,5536.51,1941.52,3404.09,2338.48,1989.73,8951.77,3795.35,5224.69,1432.35,2778.73,4419.58,1542.78,2541.31,167.96,526.02,489.03,333.81,1883.83,293.6,234.61,410.41,249.83,549.55,622.69,668.77,4422.31,7618.17,3194.3,3853.98,99.23,76278.9,3153.9,4471.6,4671.8,6807.7,4403.1,4195,10089.4,5719.7,5077.5,2917.9,10019.4,8736,4548.5,9451.1,8295.5,1745.8,21404.1,3541.4,7418,16228.8,691.5,1410.18,235.14,330.13,725.55,256.27,307.79,391.15,1521.04,5399.37,8769.55,525.42,2730.96,21655.77,3018.38,530.52,6264.51,5379.13,846.81,2442.08,5221.81,2592.14,1931.62,1800.57,10976.52,2460.56,9361.74,6972.53,1905.54,2895.65,10537.57,1145.87,2847,1279.06,309.1,1019,1220,758,2155,5379,2548,4022,8285,9046,946,6121,1922,2205.59,651.48,1385.04,2575.27,341.59,99.94,159.29,256.07,341.69,261.86,123.49,144.35,1964.99,111.99,239.99,662.48,1029.45,1937.02,636.85,493.05,507.92,1821.09,1793.98,772.15,4474.48,1450.83,1724.88,2035.11,1178.95,1041.95,1815.65,3630.02,3417.54,3606.31,1378.92,2032.08,2000.04,3330.96,5973.24,4052.61,2844.01,6123.98,5143.78,5117.34,3076.06,6537.61,2772.76,1087.27,1953.43,2561.46,1818.77,3318.74,5214.02,1780.9,1706.03,4013.23,21202.65
2011,952,4907,9301,1435,3040,4067,2443,2585,1162,12.7,26.49,120.34,93.58,922.27,154.69,3953.48,1566.69,913.22,674.05,1049.41,1761.45,965.68,915.33,14408.9,9001.12,7138.42,6930.51,32578.89,2735.72,4058.42,1952.78,7525.25,3261.83,6858.7,8103.48,5397.71,1408.48,9328.05,16739.69,3121.44,2917.18,3605.24,3908.63,4451.64,3714.56,8775.41,3356.09,2035.27,6003.64,2042.72,3374.81,2415.15,2180.25,10016.99,3621.79,5611.63,1572.09,3250.88,4224.22,1418.54,3777.64,222.8,504.05,636.26,526.44,1823,406.26,358.74,692.33,314.93,679.27,987.66,1062.41,4522.4,7045.3,3517.51,4055.13,146.66,75322.7,3155,4448.7,4623.8,6801.5,4395.2,4234.6,10094.2,5745.3,5149.3,2928.1,9945.7,8696.8,4517.3,9390.2,8281.7,1701.3,21285,3760.4,7343.2,16182.4,694.5,2320.79,394.44,364.47,249.09,214.61,315.81,351.8,1672.9,5214.84,8949.22,479.18,2867.43,23443.4,3087.99,621.83,6850.75,5818.49,923.32,2731.34,5629.8,2810.37,1728.97,1597.04,11250.03,2515.01,9317.6,7079.5,1945.57,2989.4,11330.83,1048.02,3133.5,999.45,332.42,1177.11,1244.89,744,2725.75,6085.42,2468.27,4989.82,9062.48,10330.15,924.4,7077.81,2100.92,2303.31,748.03,1623.96,3475.83,416.51,148.6,214.91,177.68,234.34,97.5,114.74,161.71,1462.55,94.1,182.02,715.36,1161.95,2003.43,803.72,555.62,565.2,1696.01,1640.8,741.95,3076.81,1247.18,1081.91,2070.3,1033.19,1055.97,1768.16,3199.39,3078.81,2923.44,1340.51,1684.07,1826.86,2861.63,5259.13,3846.21,2836.48,5422.4,4516.31,4663.73,2864.86,5815.43,2336.49,1022.93,1858.41,2232.77,1520.34,2977.48,4934.53,1645.66,1674.35,3595.75,19114.35
2010,875,4492,8890,1358,2709,3676,2156,2356,1109,22.71,17.44,89.39,65.87,660.85,70.05,3857.3,1480.86,973.94,675.53,1168.49,1724.85,1039.71,835.98,12420.66,7639,6210.18,6183.17,25126.28,1900.62,3413.48,2388.75,6766.26,2222.29,6055.32,7435.47,4959.71,1525.6,11160.99,14243.11,2534.6,2833.83,2913.07,3242.93,4075.13,3034.03,7482.71,2981.37,1941.14,5080.81,1758.13,3244.09,2259.17,2021.08,7521.45,3179.26,5175.7,1521.49,3050.9,3817.49,1190.63,4538.43,179.11,631.58,1127.06,676.36,2569,317.64,588.56,879.97,358.81,885.5,1043.34,1086.74,3491.54,7873.19,2882.13,3211.62,73.51,72633.3,2942.1,4189.6,4351.2,6353.7,4216.9,3990.2,9379.1,5452.2,4708.6,2743.3,9240.3,8123.3,4209,8714,7628.9,1628.5,20129.1,3487.5,6943.4,15348.2,670.4,2578.26,408.66,492.09,383.2,275.09,401.21,439.85,1911.78,5209.79,9398.76,570.36,2655.56,23471.77,3400,595.81,7631.79,6143.84,851.73,2817.12,6107.27,3154.8,1787.28,1566.4,11565.62,2363.77,10778.78,7227.28,2329.34,3201.71,10707.4,995.37,2325.5,1020.22,305.41,1228.84,1347.98,866.08,2512.34,5834.85,2699.93,4779.3,9789.33,11453.12,913.41,7289.5,2319.32,2715.52,942.47,1746.58,3618.56,456.42,183.54,310.56,317.93,297.85,89.6,72.48,107.19,1617.75,54.06,156.07,766.45,1150.2,1450.85,802.27,539.67,608.28,1648,1425.4,647.16,2924.99,1296.58,1083.47,2267.47,851.6,994.76,1664.1,3124.88,3265.87,3110.03,1381.24,1366.59,1682.98,2893.41,5516.4,3486.98,2565.61,4796.48,4324.32,4674.31,2548.77,5238.51,2052.76,888.91,1550.59,2295.87,1495.14,3246.55,4740.71,1711.67,1714.85,4231.69,16155.89
2009,844,4396,8218,1159,2617,3818,2136,2326,1107,13.58,20.71,152.4,123.43,1218.41,72.89,3949.65,1389.33,808.59,499.68,934.71,1431.93,904.33,700.44,12027.53,7900.31,5858.93,5364.68,24540.48,1861.38,2380.17,1944.66,6261.65,2029.45,4868.39,6940.42,4530.97,1413.57,12060.78,12526.47,2157.17,2063.01,2879.6,3030.08,3898.17,3020.14,6816.21,3603.53,1536.97,5163.29,1650.47,2844.12,1933.08,2068.21,6748.65,3045.46,4828.5,1754.45,3256.29,4026.62,1567.65,7018.7,248.33,666.73,1425.95,866.02,3351.01,394.08,897.34,1126.27,409.06,1217.2,1521.85,1269.35,3291.45,6895.03,2673.52,3300.38,84.62,65606.2,2930.6,4304.1,4378.6,6517.8,4210.7,4208.2,8950,5607.1,4850.4,2879.3,9413.8,8542.7,4490,9041.7,7774.1,1807.3,19566.3,3383.5,7046.8,15350.6,671,3140.99,465.02,513.16,368.26,283.13,515.81,400.77,2930.38,7180.9,8221.66,442.43,2522.84,24931.61,3174.44,597.88,7007.06,5770.68,870.67,2920.88,6084.91,3540.39,1363.96,1438.35,10887.1,2434.59,10724.37,6578.38,1996.94,3050.72,10429.43,1395.34,2867.6,1311.15,328.77,1518,1823,1113,2940,7282,2031,5317,10068,13051,1040,8316,2902,3068.97,972.05,1860.18,3720.16,541.35,218.02,425.89,138.26,258.47,81.32,97.15,90.47,1307.98,52.83,181.04,899.08,1326.31,1210.79,984.21,566.24,756.12,1395.64,1104.62,650.53,2908.55,1115.79,1063.22,2366.12,548.6,870.44,1329.01,2869.36,2661.09,2740.23,1277.98,1410.71,1401.76,2609.9,5199.94,2758.02,2297.08,4855.71,3789.85,4572.38,2419.15,4136.54,1830.88,855.99,1161.87,1927.34,1400.89,2908.58,4364.15,1303.23,1461.87,4663.45,14880.37
2008,857,4227,9209,1587,2776,4016,2507,2781,1105,21.75,41.35,166.68,155.53,1058.28,133.91,4396.1,1786.82,1104.51,562.17,1218.47,1924.92,1063.62,930.49,13390.25,8201.25,6620.4,6277.79,26622.56,2459.63,4157.75,2105.2,7254.09,2538.51,6296.91,7178.68,5035.76,1321.69,16981.25,14995.6,2668.64,2516.76,2847.2,2732.08,3842.18,3250.41,6136.46,3298.72,1509.17,5377.1,2060.38,2786.31,2155.66,1713.15,6484.27,3939.94,7328.06,2810.49,3953.86,4750.13,2059.68,7782.57,369.87,998.11,1788.67,1060.35,4490.22,615.24,784.52,1604.67,511.39,1502.37,1779.36,1744.39,4043.26,8830.62,3417.72,4311.5,97.9,75399.5,3259.4,4788.9,4910.7,7257,4551.5,4733.9,9916.9,6221.2,5418.4,3234.3,10507.9,9454.4,5017.2,10032,8626.9,2062.8,21482,3800.3,7728.3,16945.4,695.5,3437.44,572.23,815.76,387.27,452.3,734.92,569.35,5216.07,13585.71,9137.7,467.33,2446.24,27158.69,3584.08,761.01,8002.89,6336.74,1088.69,3474.22,6102.02,3890.37,1881.63,2061.26,12619.65,2445.72,11738.96,7546.57,2377.99,3415.14,11270.33,2104.12,3153,2446.08,447.98,1707.39,2066.08,1367.84,3709.9,7647.32,1658.65,6072.46,11506.17,14517.78,1222.59,9352.16,3668.66,3437.36,1420.94,2204.02,4653.51,612.29,182.77,429.72,329.77,388.5,305.03,154.78,199.45,2581.33,105.63,352.85,1195.36,1536.29,1052.24,1088.57,584.26,823.35,2074.88,1542.15,784.26,5245.93,1546.26,1734.89,3481.68,910.98,1293.67,2124.14,4761.65,3423.1,3800.26,1824.15,2189.66,2157.13,3727.25,7422.93,3835.55,3304.07,6323.32,5719.41,5424.28,3436.37,5806.53,2838.77,1106.52,1807.26,2593.06,2212.45,4444.76,6199.07,1741.37,2117.86,6075.48,20052.04
2007,835,3982,8828,1633,2545,3659,2440,2663,1048,8.92,18.49,134.45,49.8,681.41,63.95,3481.96,1718.43,980.26,569.94,918.93,1768.78,857.02,669.74,12961.05,8343.87,6471.35,5663.89,25633.75,2568.2,5087.36,1771.77,6915.7,3006.15,6481.2,6749.26,4587.96,1271.42,15766.19,13863.48,2806.87,2532.09,2488.97,3221.74,4155.37,3409.02,6445.89,3776.94,1903.89,4593.89,2072.59,2616.31,1985.62,1603.55,6282.89,3754.15,7581.67,2831.72,4110.54,5389.23,2329.21,9140.74,451.18,1076.71,2192.02,1500.04,5900.68,654.7,893.75,2026.29,694.86,1611.55,2212.96,1748.19,4064.28,8462.36,3590.27,3963.81,66.27,70228.9,3263.4,4522.9,4942.1,6812,4274.8,4334.4,9315.2,6076.6,5531.7,3013.5,9574.2,8391.1,4517.2,9323.1,8287.9,1862.8,21208.6,3608.2,7566.5,17240.3,775.4,3015.31,557.23,716.47,420.13,385.62,774.66,442.95,7419.41,19771.6,9504.68,345.52,2455.03,24746.72,2736.5,958.73,10059.86,5355.53,951.02,4033.37,7334,4047.08,1709.98,1887.82,13077.77,2272.49,11198.83,7464.08,2093.87,3415.55,10540.58,1756.15,3150.7,2773.54,490.71,1668,2061,1338,3552,7387,1587,5912,10982,13961,1173,8931,3490,3348.9,1471.07,2380.82,4833.98,718.61,216.63,538.33,319.13,383.53,285.25,147.51,190.3,2452.25,104.67,330.14,990.31,1405.63,1037.59,749.61,511.27,621.4,3801.76,2584.6,898.83,7733.23,2217.25,2668.08,4779.03,1634.2,1666.93,2935.98,6194.32,6077.36,5218.55,2562.29,3076.91,3616.5,5309.18,9013.43,5433.98,4424.93,8954.17,6262.76,7114.02,3818.2,6592.07,3451.32,1387.2,2512.19,3565.13,2957.68,5902.8,7960.99,2574.09,2808.31,9737.95,24800.92
2006,845,3671,8638,1392,2267,3188,2378,2365,1052,11.32,25.85,80.83,60.26,730.79,28.16,2839.28,1370.3,958.51,458.15,781.6,1241.9,706.62,515.38,12171.07,7154.09,6341.79,5434.9,31098.87,2171.43,2755.47,1518.92,7060.74,2336.37,4766.85,5761.33,5109.94,1091.74,13046.32,12324.17,2359.67,2392.57,2602.74,2820.68,3890.9,3295.52,6506.89,3603.46,1390.77,4313.33,1597.63,2199.16,1828.36,1508.21,6194.33,2961.76,7219.37,3313.94,4183.61,4793.88,1909.35,8376.32,339.16,854.05,1744.98,1265.58,4965.25,467.34,751.73,1595.84,646.61,1297.99,2149.48,1748.32,3492.67,7672.12,3089.91,3442.46,52.83,64256.7,3034.8,4160.1,4565.6,6329.8,3966.5,4076,8631.2,5641.6,5130.2,2784,8942,7848.5,4240.2,8737.3,7712.2,1740,19734.3,3279,7011.2,16018,721.1,2582.42,439.87,486.79,364.39,303.28,543.92,411.96,8534.08,21142.48,8728.49,353.19,2144.63,22390.07,2321.61,925.28,9662.02,5109.61,920.5,3414.31,7189.37,3925.38,1865.58,1932.51,12912.45,2273.18,11012.95,7357.05,1848.77,3324.52,9808.26,1465.89,2627,1693.72,478.09,1533,1902,1242,3232,6724,1432,5430,9969,12577,1071,8151,3157,3397.38,1440.09,2397.98,4718.95,759.72,202.57,609.1,170.54,167.73,179.42,116.85,138.1,1455.84,59.82,205.14,885.98,1155.59,842.46,666.21,380.18,566.51,3344.42,2538.77,1001.63,7689.08,1941.95,2341.8,4184.49,1911.48,1758.64,2653.57,5466.1,5864.03,4757.67,2524.41,3225.28,3848.66,5458.41,8129.03,4836.03,3869.12,7421.33,6986.4,6668.98,2939.08,5486.28,3181.92,1317.29,2543.9,3198.92,2842.07,5013.67,7482.32,1975.75,2651.51,11395.5,23461.64
2005,743,3456,8071,1540,2258,3087,2177,2290,1009,5.82,11.43,42.34,18.59,333.85,22.38,2085.62,1203.98,770.33,484.69,651.43,1295.82,583.91,526.69,10739.04,6784.91,5555.07,4754.76,21932,2103.6,2517.71,1186.89,5033.97,1896.32,4830.39,5485.2,5032.16,1122.49,12881.86,13719.83,2621.33,2550.18,2685.19,2563.22,3639.7,3099.41,5591.33,3154.03,1241.6,4521.44,1659.38,2181.05,1856.58,1477.61,5223.63,3000.63,5267.72,2972.17,3480.1,4471.67,1817.82,6913.86,306.7,610.68,1360.47,1025.06,3938.03,494.53,733.54,1356.11,434.25,1190.04,1434.93,1233.7,3484.49,6599.48,3066.28,3210.67,89.09,58599.4,2736.5,3789.6,4122.3,5720.2,3587,3606.7,7801.3,5095.3,4621.2,2524.8,7979.4,6984.1,3779.2,7815.7,6880.3,1561.9,17668.6,2953.3,6249,14422.3,634.9,3068.48,473.88,594.51,379.92,341.17,647.28,444.08,7180.82,19053.55,8924.65,308.66,2033.42,20789.78,2324.3,813.34,8860.13,4823.15,731.95,3278.79,6675.87,3591.55,1844.94,1799.28,12257.79,2231.09,10501.93,6689.36,1664.65,3132.25,8877.76,1107.07,2224.6,1104.05,387.33,1400,1730,1129,2957,6148,1305,4932,9120,11494,982,7443,2886,3585.81,1582.04,2591.35,5021.28,862.05,205.25,716.09,138.61,171.23,114.7,66.36,85.31,1064.85,48.66,134.75,900.37,1043.23,778.15,542.14,326.16,435.47,2410.53,3033.54,970.96,6933.89,2174.84,2321.51,4070.56,1815.1,1658.07,2711.36,5116.44,5172.03,4487.02,2187.68,3383.64,3325.02,4923.18,7181.77,4487.85,4077.1,6773.7,5552.64,6737.16,3530.32,5748.22,3219.38,972.08,2390.44,2951.11,2724.56,4897.04,7484.88,1965.34,2845.18,10473.83,19792.16
2004,695,3279,8610,1133,2438,2941,1887,1741,954,2.22,14.12,17.62,15.3,358.84,8.82,2028.38,993.89,642.16,357.84,608.76,860.78,516.79,414.38,11075.55,6716.1,5709.66,5093.4,23452.94,2294.16,2230.59,1387.8,5298.06,2362.8,5335.37,5022.69,4945.79,1278.41,12371.96,11355.01,2278.66,2246.4,2859.51,3048.86,4155.93,3450.5,6477.67,3510.79,1200.1,4338.66,1731.15,2418.74,2174.69,1723.94,5536.36,2945.04,3830.02,2753.67,3036.6,3928.68,1555.8,6722.7,329.61,678.98,1549.98,1163.08,4675.42,497.4,765.14,1476.31,569.36,1122.48,1601.63,1205.05,2944.02,5711.64,2551.83,2906.58,64.93,54762.3,2597.1,3559.5,3839,5384.8,3364.4,3395.3,7361.3,4763.7,4530.8,2339.9,7371.2,6444.6,3538.6,7219.7,6349.3,1444.4,16389.2,2753.1,5800.8,13373.1,579.5,2671.67,528.63,674.02,426.23,320.54,727.53,431.99,5635.13,15660.37,8904.7,318.08,1871.64,18563.13,2338.8,807.25,8560.13,4514.71,671.9,3122.57,6211.48,3257.21,1529.5,1451.13,11603.22,2109.2,9479,6081.81,1476.4,2931.19,7525.3,882.46,2486.4,791.85,388,1344,1710,1060,2740,5821,1215,4589,8473,10816,904,6894,2655,3703.11,1776.56,2814.06,5406.06,964.23,198.24,803.65,97.73,120.51,80.79,47.3,60.78,755.52,34.44,95.14,638.61,974.02,671.47,453.09,276.89,358.45,2117.73,2486.28,730.77,5468.84,2705.5,1603.43,3276.89,1606.82,1436.71,2270.39,4784.16,4456.17,4161.64,2101.57,2940.14,3113.05,4086.3,6683.5,4394.58,3512.66,5659.67,4935.94,5897.81,3381.88,4704.8,2592.48,959.75,2132.41,2671.44,2611.41,4767.54,7468.83,1819.54,2693.14,9259.32,17954.33
2003,663,3348,8478,1042,2445,3066,1892,2135,905,2.44,18.84,23.15,8.06,171.94,5.85,1740,895.37,595.87,360.74,511.37,904.32,525.75,397.66,11125.48,6663.32,5429.96,4874.84,22756.79,2207.67,2809,1933.66,5777.96,2917.03,5677.23,4455.02,5460.16,1048.76,8909.02,11262.69,2536.38,2263.58,2929.01,3712.69,4731.8,3996.11,7375.48,3535.01,1112.24,4425.81,1766.47,2282.9,2181.75,1538.81,5934.88,3687.73,3709.21,2147.98,3296.73,3465.35,1756.63,6134.88,309.5,713.61,1139.01,891.2,3717.99,364.33,534.94,1276.96,424.44,853.34,1510.93,969.72,2585.44,5269.71,2238.41,2566.74,39.7,52267.6,2390.9,3290.7,3482.6,4924.2,3112,3168.8,6656.9,4427.7,3968.2,2122.6,6953.6,5910.6,3306,6743.9,5768.4,1385,14660.4,2545.7,5505.6,12477.4,559.7,2198.42,467.94,599.92,438.34,309.43,695.17,422.18,4937.31,11740.75,8384.25,303.26,1827.81,17792.71,2196.04,620.04,8225.22,4092.21,663.8,3041.84,5719.04,2878.1,1463.08,1362.96,10621.49,2010.21,9106.12,5657.65,1462.95,2666.24,7240.55,678.91,2186.4,514.79,402.66,1236,1561,979,2532,5389,1127,4274,7847,10041,844,6390,2474,3961.93,2069.26,3111.98,5849.27,1108.89,217.11,962.03,91.26,111.37,74.86,47.03,60.08,731.38,32.97,89.4,669.07,688.87,684.01,479.74,287.32,414.05,2124,1727.9,795.5,4739.02,2480.75,1781.87,3092.39,1877.13,1304.24,2378.6,3952.64,3696.42,3659.44,1987.66,2866.84,2778.08,4003.09,5730.67,4484.51,3306.21,6036.86,4862.4,5670.23,2844.94,4146.84,2662.35,832.4,1760.88,2413.25,2310.86,4277.74,6510.12,1436.52,2413.57,8071.44,16863.14
2002,620,3009,7573,1251,2272,2924,1776,1905,882,1.97,8.82,13.9,7.83,192.42,15.58,1664.82,843.88,640.6,345.73,657.87,953.19,649.92,647.45,11613.51,6677.1,5335.71,4979.38,21376.68,2128.84,2557.7,1626.68,4748.57,2534.87,5440.23,5814.07,5908.72,1346.92,10190.86,11525.15,2466.57,2671.22,3255.19,3257.86,4715.57,3971.52,6794.31,3657.48,1294.32,4491.82,1698.31,2466.98,2453.51,1631.96,5624.42,3579.78,4085.46,1945.76,2811.52,3158.74,1507.03,5367.47,208.02,615.2,842.52,786.72,2892.05,322.18,479.89,931.33,395.57,789.72,1110.11,762.98,2457.2,5259.02,2080.73,2495.52,42.53,50198.2,2258.5,3119.7,3339.4,4712.6,2906.4,2991.1,6300.9,4175.9,3836.3,2046.8,6438.4,5660.7,3052.4,6422.3,5404,1309.7,14048.6,2417.5,5109.8,11836.7,515.9,2059.66,465.87,548.04,354,307.47,601.66,439.13,3558.78,9612.72,8217.6,342.36,1846.48,17377.15,2153.1,561.65,8031.14,3991.37,657.29,3072.98,5443.69,2840.58,1434.54,1394.69,10361.25,1970.81,8819.17,5501.45,1554.03,2591.04,7454.79,665.16,2253.3,490.74,297.17,1292,1656,995,2616,5631,1173,4339,8108,10538,854,6545,2555,3856.02,1779.34,2836.62,5764.08,1017.82,207.67,952.16,74.19,91.65,61.37,35.56,45.7,570.2,26.03,72.11,739.49,671.04,706.74,435.91,304.13,302.59,2176.02,1797.19,850.83,6213.88,2565.91,1450.79,2912.52,1546.66,1485.81,2210.76,4084.9,3513.53,3536.85,2157.57,2821.54,3004.86,4343.22,5370.81,3743.86,3833.8,6219.36,5803.49,5298.32,3117.36,4661.28,3051.57,962.71,2165.06,2625.46,2376.07,4882.45,6889.65,1543.94,2293.01,7928.7,15806.68
2001,682,3411,6712,1293,2446,3115,2005,1752,961,2.84,6.36,27.49,23.39,126.65,13.32,1418.52,583.25,441.21,352.77,442.67,650.96,460.7,321.74,11138.4,6710.36,5507.6,4925.6,22379.6,2183.57,2528.75,1533.76,5214.64,2427.76,5320.81,5194.25,5336.71,1199.15,11088.43,11965.67,2475.74,2432.85,2932.23,3145.66,4310.75,3629.39,6559.7,3464.33,1212.07,4444.43,1713.83,2337.42,2166.63,1593.08,5579.82,3303.3,4018.06,1888.73,2881.2,3352.08,1251.59,5490.33,161.83,426.28,720.58,804.52,2743.06,337.9,337.76,879.56,328.52,634.6,1297.8,633.05,2829.1,5009.85,2335.86,2545.01,51.18,48777.7,2212,3050.8,3261.2,4612.5,2836,2934.2,6099.6,4136.5,3765.2,2011.1,6183,5424.3,2937.6,6144.5,5197,1268.7,13734.1,2334.2,4892.3,11458.2,499.6,1641.55,386.22,395.05,231.84,211.92,414.1,277.12,3685.88,9080.54,7708.41,276.15,1650.82,15794.9,2124.91,647.63,7938.15,3734.92,639.67,2836.09,5035.26,2566.96,1344.78,1316.59,9623.26,1867.91,7671.62,5006.01,1314.59,2406.86,7274.47,493.05,2106.9,507.18,317.58,1310,1739,1020,2573,5636,1153,4496,8082,10530,850,6527,2548,3947.52,1833.12,2912.14,6029.72,1070.24,208.1,1043.74,65.64,81.1,54.34,31.46,40.46,504.46,23,63.8,601.4,754.6,447.74,457.72,339.85,347.57,2251.29,1922.82,858.45,5781.25,2487.17,1363.43,2885.88,1506.5,1274.87,1916.58,4048.87,3116.6,3677.08,1801.72,2875.31,3121.09,4647.85,4874.15,3457.71,3087.27,6886.09,5246.68,5018.81,2751.47,5482.69,2343.68,857.34,1822.23,2877.75,2396.61,3780.75,6583.55,1600.31,1968.29,7067.65,14866.22
2000,661,3290,7020,1235,2425,3179,1877,1867,850,2.93,3.31,111.54,14.81,190.71,18.01,1223.74,498.41,564.62,209.19,442.51,632.6,386.36,417.88,11369.5,6670.21,5382.84,4927.11,22066.74,2168.26,2683.35,1780.17,5263.27,2725.95,5558.73,5134.55,5684.44,1197.84,9549.94,11393.92,2501.48,2467.4,3092.1,3485.28,4723.69,3983.82,7084.9,3596.25,1203.28,4458.82,1732.39,2374.94,2317.63,1585.39,5779.65,3633.76,3817.38,1853.42,2693.79,3327.7,1377.28,5285.27,199.96,414.21,817.2,752.75,2985.66,363.24,385.14,1119.15,301.71,624.8,1095.97,652.93,2846.88,4817.25,2321.9,2475.51,51.46,46574,2151.3,2958.6,3165,4441.7,2735.6,2846.5,5863.1,3969.7,3652.6,1935.2,5920,5258.9,2838.4,5849.9,4912.3,1222.1,13196.5,2257,4697.2,11010.4,475.1,1388.16,240.89,298.71,190.11,171.25,318.19,227.32,2996.37,8021.62,7683.14,281.1,1513.55,15415.03,1775.61,621.74,7027.1,3719.15,645.98,2658.28,5006.91,2391.61,1135.94,1259.5,8903.08,1688.2,8103.61,4813.92,1503.76,2238.33,6480.82,368,2225.5,443.67,241.26,1226,1676,938,2311,5173,999,4024,7325,9494,770,5888,2298,3939.08,1718.33,2812.11,6119.3,1049,203.68,1085.74,54.56,67.46,45.18,26.15,33.68,419.79,19.17,53.11,729.32,574.37,526.9,480.86,327.8,363.87,2005.19,1986.22,722.8,4717.08,1991.72,1585.27,3370.92,1310.93,1314.76,1595.96,3900.19,3271.57,3349.86,1602.83,2660.51,3019.64,3005.16,5314.67,3417.82,3251.88,6314.69,4821.1,4073.71,2457.41,5051.78,2545.4,931.26,1711.77,2303.34,1951.51,4076.22,5673.99,1333.44,1703.42,5657.76,18960.44
