TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BE10,BE21,BE22,BE23,BE24,BE25,BE31,BE32,BE33,BE34,BE35,BG31,BG32,BG33,BG34,BG41,BG42,CY00,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES53,ES61,ES62,ES63,ES64,ES70,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HR03,HR04,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MK00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,NO01,NO02,NO03,NO04,NO05,NO06,NO07,PL11,PL12,PL21,PL22,PL31,PL32,PL33,PL34,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SE11,SE12,SE21,SE22,SE23,SE31,SE32,SE33,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2014,287318,1626262,1765575,555743,1214927,1425982,534185,721574,375323,1172751,1806634,857844,1471126,1108408,1177935,391609,1334423,1095661,278219,486230,810401,835813,954536,1063690,2127618,1453619,858000,1243201,1302336,1210176,1125429,1506503,1680287,1222655,1221832,3972881,2702831,2174500,1781066,4469342,1189153,1077991,1056365,1707376,1297992,1806025,3421829,2449193,657391,1746342,3822479,1023150,1199796,1596505,1574936,2099079,1670199,2446345,1474378,519136,2000852,990718,1590927,1468954,986504,2815955,2160840,1749405,816726,1202509,1277538,581057,3863763,198581,334802,630889,608214,1903360,278706,341046,737686,207664,677727,559214,585155,2747226,1058975,587682,2167166,636450,315223,1331301,6378297,2495689,2075197,1096421,7416237,4956427,1115841,8388875,1461803,84674,83870,2114845,1374403,1585473,1161882,1300846,28666,12027565,1339299,1930095,1856267,2577435,1479378,1642551,4076061,2342397,1872949,1178072,3690659,3276543,1797698,3343326,2979161,738120,6460505,1360461,2751592,4983438,324212,1405908,2840901,2965413,1069190,984521,917492,1176894,1484375,1279480,1232783,3372718,4436798,128591,1591939,9973397,1333939,314725,5869965,4090266,578391,1980533,5094937,1663859,515714,536237,4926818,1229363,4446354,3750511,896742,1553138,5870451,2943472,549680,2001468,2065769,425384,582728,646317,488988,1139697,2019692,399893,1253672,2741369,3577032,380621,2479274,1120006,1209992,382230,969415,751632,875475,441193,478033,2498861,5292567,3316097,4548177,2134413,2083546,1253041,1165447,3441440,1691400,1008564,2869579,960226,2068417,1421264,2264817,3644195,442358,2281164,2807525,743306,247440,261313,2590220,2355312,3273367,2509094,3085095,2282968,2033360,1817895,2163042,1605347,819426,1426826,1921924,829134,368617,510548,1094709,966376,618380,1836664,1347233,1613672,1183828,1430989,498520,2725339,1470707,911528,1514303,924958,807101,1361786,2262880,2141117,1745978,726897,1310376,1587265,2793630,2437219,1783892,1760630,2325777,2797596,1933610,1771366,2402032,1296434,546574,1151663,1947877,1147249,2049771,2334318,486500,466872,1837275,8477298
2013,286691,1618592,1741246,555473,1210971,1418498,531898,715888,372603,1174624,1802309,855963,1465150,1103737,1177567,389479,1332489,1095977,278278,486069,823469,844511,957460,1067981,2128783,1462348,865878,1246780,1291816,1209298,1128490,1507980,1679857,1225302,1226602,3947568,2686573,2162340,1772630,4415649,1181472,1074738,1058711,1698515,1297727,1792759,3375222,2449511,654774,1734272,3791381,1023277,1201823,1600327,1574527,2094931,1667332,2442205,1476237,518289,1995752,994287,1591320,1480210,978674,2806531,2170460,1732068,816359,1201419,1272510,580272,3912849,199478,334652,630085,610102,1912624,281324,343128,741593,208241,682583,560093,586863,2761989,1067797,590036,2177006,638948,318647,1338316,6414620,2518560,2094406,1100970,7480921,4987011,1110112,8393175,1461983,84539,83620,2105234,1370384,1566835,1161486,1299468,28501,11959807,1339008,1927142,1849652,2570548,1478712,1642687,4060741,2345197,1868183,1177096,3660852,3258707,1789779,3316889,2954157,737509,6399927,1357668,2729721,4953675,320208,1407798,2854342,2953883,1074702,985279,925180,1189441,1491659,1288654,1236009,3355078,4374052,127844,1565127,9794525,1312507,313341,5769750,4050803,576194,1958238,4999932,1640379,509626,530308,4881756,1221860,4377487,3692828,886239,1545155,5557276,2971905,537039,2023825,2062294,421364,581705,646862,489918,1139350,2015791,398441,1245294,2724300,3563935,381077,2471011,1121891,1190365,380973,960653,741284,866239,437198,474563,2510409,5276119,3310450,4566039,2143278,2085063,1259137,1169763,3437751,1694560,1010582,2875180,966167,2072655,1425897,2259485,3666234,444390,2298938,2818388,748699,247549,263091,2594823,2359405,3278798,2523354,3108150,2282244,2048702,1824598,2127006,1589821,815792,1415403,1904563,826272,368182,508854,1093507,965314,612682,1838136,1348611,1611407,1179483,1426855,498561,2708724,1467257,907378,1511939,921648,803912,1355190,2246494,2128752,1732767,721675,1304463,1581053,2773057,2419478,1764359,1747002,2305960,2775896,1920443,1756588,2381851,1288909,541885,1145970,1940790,1137210,2038242,2332677,482699,466497,1826656,8362977
2012,285782,1614455,1717084,556027,1208696,1413866,529704,711581,370926,1159448,1791024,852056,1458467,1097210,1173818,386836,1326386,1090043,276154,483408,836601,853468,961965,1072850,2131233,1471107,862011,1241664,1279345,1207847,1131191,1508867,1678250,1227668,1230613,3924922,2671524,2150906,1765089,4363176,1175923,1072091,1061573,1688414,1299076,1783119,3326002,2453180,652182,1718187,3763611,1025525,1204635,1606899,1575968,2093431,1667127,2437727,1480166,518370,1991497,997855,1591710,1491442,971030,2802266,2181603,1714589,817907,1201342,1266682,579996,3963887,200591,334780,629367,612074,1922590,284061,345437,745839,209131,687935,561670,589044,2771916,1074308,592383,2184696,640014,320951,1343807,6425522,2537685,2105935,1104336,7514991,5009650,1100715,8377810,1461925,83845,81792,2085938,1365259,1549058,1159823,1298773,28354,11898502,1339270,1922342,1845547,2563586,1477209,1641130,4050756,2349816,1859869,1175684,3632614,3237097,1783991,3285970,2926592,738633,6341160,1354104,2700266,4935576,316257,1410551,2865433,2940818,1079589,984399,931215,1200831,1498795,1296278,1236529,3346178,4357663,126620,1567339,9700881,1306416,313145,5764424,4050072,577562,1958418,4999854,1637846,504708,524877,4853657,1217780,4341240,3667780,883215,1540688,5500022,3003641,524853,2044813,2059794,417546,580875,647214,490807,1137668,2010745,395525,1237117,2709822,3552407,381407,2463686,1123075,1169539,379938,949963,728934,855399,431340,470757,2519448,5257680,3303061,4576485,2149487,2083852,1263464,1172366,3430702,1695822,1010421,2876855,969541,2074398,1427162,2253048,3687224,446140,2316169,2827050,754385,247194,264236,2598877,2360578,3294204,2538949,3128799,2279145,2067357,1828087,2091473,1578097,812948,1405912,1892328,825431,368454,508212,1091741,963755,606537,1839259,1349729,1608797,1176946,1422375,499421,2693988,1463495,904434,1508892,919611,800816,1348020,2234084,2116608,1719114,716837,1299331,1575042,2751164,2404415,1745551,1735048,2285445,2755118,1908498,1739957,2361987,1281108,538101,1139062,1936283,1132397,2029148,2332454,478319,466336,1818935,8256963
2011,284581,1609474,1702855,556718,1206611,1410222,527886,707517,369300,1136778,1773267,846851,1448928,1088692,1168002,383648,1319745,1082136,273205,479386,848230,862120,966328,1078597,2133731,1480425,839751,1234037,1264986,1207027,1132252,1508735,1675872,1229117,1234705,3910637,2663588,2142723,1761557,4313946,1172475,1071424,1065322,1679849,1302144,1778244,3278346,2461242,651467,1705700,3734199,1027159,1208050,1614789,1579623,2093945,1669999,2435261,1486160,518554,1989471,1001879,1594568,1505254,966434,2800134,2195344,1699387,819763,1200656,1260993,579829,3992912,200831,333983,627144,611573,1925437,285899,346503,747690,209221,690904,561693,589602,2773411,1075869,590867,2183136,637100,320858,1344385,6394252,2545301,2099064,1102299,7493263,4999192,1091664,8332080,1459075,81621,78866,2064871,1360041,1532309,1157595,1297324,28007,11852851,1336053,1918155,1839393,2556835,1475684,1642734,4042015,2350657,1852325,1173440,3601113,3217767,1777773,3254233,2903420,741072,6283541,1350682,2670046,4916069,314486,1413426,2876431,2971246,1094104,994698,940585,1194697,1481922,1308470,1237715,3333166,4364309,126761,1574132,9663872,1307273,314342,5765850,4053668,579358,1962856,5005657,1641681,501815,522486,4851958,1220849,4331343,3668948,884010,1541950,5481572,3052588,511840,2074605,2057284,414989,579036,647282,491411,1134465,2004671,391967,1228794,2691477,3528324,381530,2454215,1122627,1144883,377709,938827,718543,845886,426206,468251,2528674,5240483,3293551,4585758,2156633,2083487,1268145,1175010,3422705,1697166,1010700,2878103,972986,2075129,1428620,2245568,3693585,451304,2331642,2822761,758707,246757,267965,2717532,2522692,3703283,2802532,3253712,2267419,2232814,1913831,2054343,1569248,811611,1396556,1879781,826820,369316,507895,1088922,961267,599931,1838786,1349286,1604443,1173646,1417980,499952,2673791,1459318,901375,1503567,916612,796538,1338373,2220015,2104311,1704627,713322,1293901,1567473,2725810,2385006,1726575,1723421,2264895,2733391,1894162,1723082,2342716,1271821,534024,1132530,1930295,1126355,2014403,2326753,473634,465794,1809539,8133525
2010,283697,1605897,1689995,557998,1205045,1409253,526730,704662,368366,1089538,1744862,838505,1432326,1076924,1159366,379515,1309880,1067685,269023,472281,865332,873801,971932,1087181,2132634,1490886,819140,1227932,1247330,1205834,1133425,1506467,1671993,1229931,1239176,4000848,2740503,2196018,1807552,4346465,1189194,1081417,1076400,1710145,1321957,1784753,3442675,2511525,661716,1774224,3792941,1044269,1224741,1651216,1616720,2142440,1693654,2476001,1490711,513794,2008170,1022585,1631486,1511028,954185,2832027,2249882,1680271,820564,1200277,1253998,579628,4002871,200179,332652,623113,610112,1921906,286450,345960,746976,208675,692269,559655,588471,2772466,1077102,588512,2179521,633023,319934,1344181,6373546,2547401,2084468,1099610,7463488,4989631,1083679,8276008,1453543,79294,76049,2045163,1355168,1517542,1154648,1296335,27734,11786234,1335923,1914844,1836954,2548065,1473494,1642115,4038157,2350920,1845687,1171763,3571495,3199066,1770363,3232352,2881756,742771,6230691,1347387,2636350,4899155,309693,1415971,2886876,2951436,1098654,996390,947986,1209142,1492502,1318214,1227429,3321999,4362041,126686,1576443,9600951,1307778,315536,5758375,4048007,581140,1966336,4997429,1641347,498315,518796,4841933,1221569,4306684,3657340,880202,1540272,5442963,3141976,502066,2120504,2052722,414027,576668,646305,490981,1130345,1998936,387881,1220910,2669084,3505611,381409,2444158,1122701,1123359,375925,928852,706823,835517,422102,465621,2535866,5217587,3280603,4590630,2161679,2081154,1272156,1176151,3410721,1696985,1009605,2876509,975283,2074489,1428496,2234955,3705980,445824,2337787,2808205,762068,246900,266715,2719719,2524418,3712396,2811218,3267270,2261698,2246033,1919434,2019182,1558292,810066,1383653,1866283,825931,369708,507567,1087215,959761,597999,1842763,1350286,1599362,1168781,1412315,500458,2651011,1455120,898513,1498042,914144,791442,1328405,2205139,2090780,1689857,708733,1288952,1558437,2699492,2361712,1706697,1711120,2242650,2709001,1877812,1705146,2324183,1261896,530325,1127629,1924712,1119494,1997342,2317233,468596,463388,1799019,8002621
2009,282777,1602958,1680135,559462,1204795,1408619,526699,702502,367056,1068532,1731174,833160,1420415,1068838,1155290,375645,1304436,1060035,266950,468605,881573,884857,976062,1094253,2129855,1500519,796930,1214300,1230405,1202477,1134887,1503865,1666778,1230437,1242634,4006313,2740164,2195681,1807348,4335137,1191910,1083780,1082516,1712405,1327497,1786483,3431675,2522493,661866,1772100,3784767,1048683,1231503,1664356,1623649,2149181,1696643,2477771,1499457,515322,2013572,1030324,1638111,1522606,946611,2834260,2267763,1662285,821252,1199667,1247732,580515,3999457,199517,331815,618317,608639,1913980,286672,345167,745569,208161,692990,557291,587170,2767469,1076276,584657,2174077,627286,319788,1342788,6327559,2549172,2066428,1094693,7427092,4981284,1070167,8212968,1441787,76927,73365,2025490,1349600,1501511,1152267,1295480,27456,11728240,1337953,1911157,1832942,2538590,1470880,1642440,4033197,2350112,1843053,1168208,3539048,3175064,1760575,3206137,2862707,741785,6174040,1343964,2610890,4889053,305674,1415015,2894781,2925500,1103132,998187,952982,1223238,1502409,1325527,1215848,3305474,4356322,126369,1577301,9545515,1306029,316955,5750382,4043827,583556,1970780,4990588,1642583,494559,514881,4827619,1221392,4277139,3641389,875261,1536302,5401837,3183856,493500,2162834,2048619,410926,574092,644811,489918,1125435,1991062,383449,1210869,2646445,3481558,380984,2434560,1122604,1103100,374359,919900,696166,824865,417437,463425,2548861,5204495,3287136,4645665,2161832,2099495,1272784,1191470,3397617,1692957,1008962,2877059,1033040,2067918,1427073,2219512,3712554,440088,2341807,2792105,764652,246670,265138,2721468,2526062,3717621,2818346,3279786,2253093,2257752,1924488,1981263,1545587,807871,1367017,1851702,825149,370269,507489,1079453,952909,594966,1845563,1349903,1591969,1165178,1407170,500823,2630100,1452056,895916,1493563,912723,787264,1319708,2191368,2076533,1676611,703231,1284388,1551138,2676535,2341273,1688942,1699785,2221257,2686149,1862903,1688611,2307856,1255012,527976,1125102,1919910,1112230,1983494,2309167,463461,460799,1786187,7877924
2008,280977,1595503,1671221,559715,1203701,1405762,525944,699588,365578,1048491,1715707,826690,1408484,1060232,1150487,373492,1300097,1053722,264084,465380,898371,897075,981143,1102099,2127498,1511816,776333,1195521,1201524,1191156,1130335,1494631,1657593,1229618,1243044,4007095,2739274,2196410,1806976,4313446,1194138,1086684,1088845,1714123,1334767,1788329,3416255,2535737,663082,1770629,3780232,1053259,1239064,1679682,1633318,2156841,1701132,2480393,1507919,515972,2021752,1036598,1646716,1534160,939218,2837373,2289219,1645825,819427,1194659,1237041,578839,3990727,198675,329525,613144,605411,1905904,286696,344410,743919,207508,693549,555577,585892,2754766,1071079,577267,2159415,616710,316197,1325426,6226185,2541720,2031840,1089655,7311146,4928095,1042857,8118570,1419563,75250,71244,1991954,1344565,1483719,1149025,1296022,27153,11659260,1338004,1906601,1825667,2531588,1467425,1638588,4024490,2346361,1837087,1163931,3510170,3149701,1752708,3177625,2838228,740743,6117229,1341863,2581718,4882913,302966,1412009,2899958,2897317,1104841,997939,960088,1236690,1514020,1334506,1191149,3266616,4332069,125550,1573333,9469841,1297991,317655,5750281,4040624,584871,1974058,4981526,1639766,490035,509109,4783323,1214346,4222551,3615187,866930,1521242,5342587,3212605,483799,2191810,2045177,407832,573459,643189,488135,1119994,1983869,378688,1201350,2626163,3461435,380585,2424827,1123705,1079051,372926,909842,684761,815705,412849,462037,2555898,5188488,3279036,4654115,2166213,2097338,1275550,1192660,3386882,1692271,1008481,2878410,1037088,2066136,1426155,2210920,3719773,434556,2345981,2775675,767535,246373,263446,2724176,2524628,3722553,2825756,3292036,2242002,2270776,1926700,1949516,1534529,805353,1351257,1838691,825000,370386,508195,1067719,942550,592824,1846283,1350263,1586694,1161826,1403818,500819,2609479,1450334,892773,1490636,910195,783385,1310906,2176960,2062927,1662694,697281,1277162,1543007,2653874,2321845,1671667,1687563,2200859,2665296,1850318,1672669,2291124,1248807,525791,1122091,1912884,1102960,1969549,2300139,458850,457438,1770363,7753358
