TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,837371,2193818,5829482,2528371,3101025,2335100,5672162,8552390,1890546,284981,394209,1382118,1447434,1479160,859387,5899630,820141,1697346,1213676,2087381,1875555,1115731,698211,5096989,4366479,5644494,2706529,14080307,2671803,1709440,1700433,3443547,2337742,4231356,11311105,4081187,1130592,5880314,8874486,1026453,2832920,6916017,2356952,2884479,2847730,4252593,3224926,1900268,2571736,823429,3467363,1605510,1881283,2838585,6170987,2635350,512453,1558132,918497,812583,3239356,388496,3929152,3438692,655628,2921454,156650,533711,943469,1597624,641197,570117,1099708,2309531,3134817,1876874,3323767,195439,35691135,2487421,2655014,2519414,5108422,3945428,4164870,4406153,3309730,4620437,1783550,6294668,6789407,4519169,8891122,6333486,1267053,16526632,2910358,8554097,16850736,2807920,3760547,968650,1493086,976652,875199,690489,552822,2430139,7246291,4277946,972736,3807967,13611606,1511212,147881,4360218,3187740,532666,1472466,4473376,2174232,6040679,3450620,15984757,2060785,9037868,12052488,2182531,2224348,10298408,2460250,1044336,1839241,1460645,549900,1555463,1630488,1662905,3244481,645302,1283643,10401469,4070213,2020122,3452999,3533200,3227615,3137924,2632370,4604191,996155,334274,1042593,896070,1850860,752521,1165638,675003,1437737,456988,683718,1201235,2139085,1071884,732155,1199617,999444,629858,1704381,2408160,2396853,1888703,910677,1307785,811675,3202982,664866,1382505,2005698,1133707,1429892,1420763,1116501,2144731,3240064,925822,925750,2851211,3120110,2453122,1649943,3134907,3031571,2547166,2976208,3930937,1503447,4347650,2589873,759374,2620774,1468659,15816417
2012,850474,2265791,5598857,2559747,3009862,2378899,5505406,8312629,1843981,255233,403259,1320107,1334005,1374520,806890,5726454,853204,1702590,1225885,2088946,1756405,1046587,698746,5099863,4343966,5575791,2727713,13740762,2644294,1714848,1742671,3415709,2315654,4163825,10834953,4040297,1070434,5603644,8624730,1025463,2875288,6836570,2362290,2875480,2881866,4155977,3207496,1915111,2542356,720932,3486056,1646797,1772528,2906833,5985724,2509963,501953,1542294,898279,829223,2809603,329922,3743892,3001069,508135,2682640,137603,497503,884803,1456512,621590,522601,1016149,2350731,3187184,1885846,3266306,197641,35646592,2361241,2519713,2404886,5102515,3815701,4213376,4210762,3116760,4405664,1746264,6176105,6232239,4392902,8556826,6435055,1258258,15464666,2921983,8303250,16096712,2338797,3523471,940107,1477901,896424,782085,656402,531762,2370069,6894355,4276944,1009894,3679202,13595973,1578410,178005,4597691,3225974,517901,1509337,4331580,2119118,6043978,3421140,15818490,2093070,9097401,11938863,2181040,2220738,10298408,2238245,1021673,1644758,1350986,528090,1463509,1524976,1562188,3134013,552832,1194264,9304378,3613825,1742085,3144811,3385611,2879382,2954383,2507273,4261788,861880,337702,966072,850180,1640362,766907,1191183,688301,1352788,421920,741732,1207526,2048356,937373,719242,1139054,934693,788888,2205544,3177755,2994649,2212727,993863,1627995,1185066,4058673,882134,1709407,2364604,1381703,1885267,1751721,1336604,2543761,4058634,1209917,1115287,3542608,3814010,3112285,1921900,3712560,3590493,3381636,3847298,5385185,1885046,5271283,2816631,925878,3228426,2169756,16681589
2011,840590,2254364,5223934,2489436,2918229,2253674,5148105,8062246,1715620,237993,339230,1254892,1225390,1194255,685207,5050923,694083,1418771,1040052,1782282,1473681,866614,572306,4842325,4216897,5350140,2606531,13056151,2578383,1680945,1659406,3255754,2246263,3951965,9852160,3928980,1100013,5083172,8139430,999429,2792130,6659366,2327286,2816321,2841865,4071264,3341707,1974121,2516807,749453,3350473,1603533,1638033,2839405,5965744,2380767,507748,1550590,895961,829918,3450914,371239,3762195,3487511,876968,2937331,132282,424899,980912,1334802,647734,597159,1140915,2307441,3104074,1840400,3263606,211047,35536845,2328084,2474268,2466265,5069276,3911201,4225666,4123419,2934064,4400221,1780670,6130277,6401509,4332333,8642878,6323339,1252700,15431523,2870290,8386692,16245204,2370743,3095243,744398,1392221,638682,654881,601827,459475,2243280,6554967,4247695,969708,3839672,13258859,1580898,209051,4849622,3230905,511677,1515796,4221641,2242707,5853454,3327405,15765623,2085030,9258418,11985798,2210933,2260569,10298408,1576910,934995,1584996,1342460,528700,1427800,1406200,1565400,3108000,361500,1198000,9357300,3513200,1850000,3070900,3279700,2924439,2938494,2659720,4179164,911655,341166,895168,799304,1435771,696188,1134824,616401,1282616,375045,639657,1155596,1889543,878413,692946,1069185,896132,547952,1276989,2042469,2151741,1510462,798599,1322244,595961,2846549,520171,1212968,2086455,1084029,1275605,1170847,940058,2015535,2614559,852037,743574,2620965,2707179,2142125,1558595,2908003,2570652,2177792,2416517,3215751,1454983,3784313,2424237,761264,2330661,1161928,15193505
2010,845241,2157002,4876773,2377404,2808833,2179028,5001115,7788051,1666665,201008,292948,1001276,1050181,1163366,635731,4743373,631356,1377140,959985,1753925,1378295,840424,527380,4456122,3968403,5009000,2431564,12374789,2444844,1579421,1584256,3114695,2101963,3655250,9045709,3763608,1037909,4732566,7865001,956269,2648122,6511619,2263283,2668550,2748305,3990027,3024654,1898023,2378359,708555,3176152,1517712,1586527,2731044,5819983,2164118,509732,1523597,853937,788401,3410879,376302,3466247,3183286,719987,2709267,123097,401649,929381,1218613,906833,622880,1064346,2282065,2852110,1703078,3163724,203671,32247826,2190414,2000909,1967487,4455440,3531898,4055403,3811063,2549494,3799280,1567516,5354535,5387029,3700069,6908283,5461683,1143059,10938089,2539845,6987303,12144838,1951794,2843618,738201,1370022,701772,613168,613301,423928,2161472,6236485,4087511,928328,3666732,12298940,1485120,183559,4543257,3112906,493828,1435255,4025082,2384423,5697490,3200080,14583515,1995632,8844219,11353113,2054611,2151001,10289243,1361422,854717,1311538,1276983,514800,1442600,1417200,1539500,2993700,461000,1109900,9285200,3379200,1787400,2964100,3113800,2842957,2841575,2623738,4094552,898442,332540,911308,702838,1126887,620961,1044043,572912,1125213,337102,542801,1086047,1764973,766839,704590,1003855,879844,552735,1630610,2004257,2044170,1942921,939570,973116,653999,2703723,592292,1225141,1566034,935388,1128804,1339721,1072841,1874897,3046999,715513,918390,2390061,2839142,2104956,1469333,2784157,2933567,2082070,2664810,3191875,1170313,3987354,2528751,590979,2303234,1074293,15574158
2009,798221,2112161,4384442,2395652,2717690,2163147,4832640,7544211,1618425,221071,319065,1050536,983295,1126957,639739,4346839,645443,1396028,1002033,1784095,1400355,825422,585694,4216749,3749913,4900835,2364958,11208410,2378384,1514125,1509769,2835578,2025222,3492344,8259301,3586382,912411,4367721,7173382,953125,2623271,6764279,2206959,2491393,2727354,3836044,2904906,1859899,2295733,665389,3051319,1477226,1466711,2637599,5693395,1987583,533458,1463732,825592,776690,3502680,427170,3222836,3080929,680738,2457298,115496,392021,903407,1160526,851807,649709,1037615,2191416,2625476,1665590,3078312,204199,30665346,2179432,2021583,2021500,4398491,3482981,3923481,3800586,2489250,3756545,1572383,5334967,5436767,3761903,6720979,5622747,1145220,11045968,2474519,6941896,12092173,2008842,2676492,738883,1286917,739273,635315,630957,442775,2065921,5931485,3867041,914641,3643064,11409159,1339959,185116,4318557,2986038,467296,1528697,4101879,2447347,5549364,3145272,13945187,1960664,8688492,10758493,1973361,2025842,10244332,1247951,907531,1113898,1116457,537100,1518900,1493900,1548600,2864200,451200,1075200,8280900,3477200,1702800,2825200,3184200,2779406,2761965,2546065,3857346,892152,323914,927447,732474,1072785,656501,1157087,591251,989805,366114,575118,1087263,1747906,763528,722475,990854,864331,494781,1645106,2644269,2685798,2178492,902641,1107094,730928,3186987,695971,1173542,1880318,961552,1458026,1487452,1346340,2313176,3363590,873581,1018386,2641440,3213980,2891788,1669510,3332801,3766043,2671252,2977697,3621291,1458433,4052623,2745044,793634,2642927,993267,14704426
2008,786623,2191796,4592962,2399725,2635948,2145878,4903840,7569621,1606854,230961,362135,1162698,1099064,1326576,790429,4587483,665178,1423522,1046526,1967403,1581590,924056,640128,4713890,4048969,4889184,2482357,11622874,2502557,1612806,1640458,3118574,2224222,3538510,7905145,3665123,934300,4116335,7632430,1027591,2642948,6429946,2152384,2486829,2706767,3798499,3016604,1910175,2431671,727744,3036527,1463369,1460935,2591612,5535463,2121258,606699,1538210,900292,873710,3417557,391570,2169706,2287742,650371,2185239,106505,389802,868060,1082821,811730,625443,1009990,2335922,2748307,1758063,3181120,216886,32507221,2237170,1933458,2069819,4472465,3429696,4001281,4077442,2584843,3668447,1566730,5241085,5210846,3699863,6498660,5795045,1125179,11113507,2442071,6689330,12569675,1943661,2895038,774294,1323931,802833,683612,689912,481630,1982955,5642351,3475420,858107,3615764,10778728,1626349,195390,4480908,2922245,466280,1527635,4204784,2364363,5389382,3064424,14129877,1954164,8760073,10867588,2143796,2069938,10650871,1591128,936646,1555936,1221378,504500,1347600,1473600,1566900,3086500,440900,1133200,8282300,3510800,1591100,2908600,3256300,2679808,2885621,2576419,4018758,858290,352721,1028643,908076,1291514,725646,1308569,750157,1038161,429370,673814,1108320,1833628,912122,843138,1196380,1075396,757131,1490102,2252572,2358353,1931056,1021646,1054360,461937,3086943,613745,1388878,1799341,1147281,1067650,1552939,958615,2301970,3023993,877591,970169,2554887,3112259,2326179,1325068,3074507,3227256,2265164,2801706,3606816,1588047,3978721,2733350,673575,2453013,1161507,14783468
2007,757179,2121486,4226277,2342555,2526942,2073676,4773065,7211122,1530989,208297,359219,1149301,1048722,1243847,754869,4485372,713507,1492843,1055242,2006784,1596815,967442,642916,4509379,4008208,4741072,2392828,11401850,2490800,1633532,1616883,3084103,2196992,3496448,7585027,3568649,889858,3985106,7537987,986193,2699287,6098455,2158646,2244422,2618921,3685010,2952542,1980231,2352763,735876,2993369,1469535,1416099,2535529,5302484,2171570,624424,1478541,908933,899587,3546102,341405,2140547,2237139,607146,2015062,100721,426398,850788,1117009,825606,681572,1057197,2285365,2680431,1749882,3167746,215971,33086546,2248713,1973356,2010318,4573109,3429654,3989711,4053484,2581301,3655680,1525538,5101781,5356919,3722108,6584914,5664390,1112185,11086781,2373601,6814114,12524897,2016110,2845091,778210,1224471,806869,676176,669921,473591,1899401,5366859,3351765,841088,3615968,10727569,1560806,194879,4624354,2693881,448546,1568519,4614338,2280173,5280923,2997996,14153217,1919019,8665314,11428482,2193434,2170371,10819441,1550636,979214,1487379,1193033,549700,1409900,1439200,1597400,3119000,444200,1049900,8865100,3497600,1860400,2985000,3442800,2580573,2860336,2464337,3925791,885389,345946,981789,889707,1329992,717592,1231054,729221,996740,403071,674544,940614,1664138,881969,751298,1097717,1008339,602147,1580048,2651305,2377495,2508024,929060,918187,627978,2954445,487791,1499350,1761151,1076748,1132767,1482060,1294269,2167227,3419985,1134091,947452,2408126,3455433,2301413,1498770,3032558,3544786,2360443,3120447,3232133,1404539,4537951,3144793,746387,2796396,999119,14838336
2006,694603,2050334,3928025,2195665,2391972,2007736,4735905,7052947,1451282,194586,299645,1077286,974543,1043394,663493,4142538,767555,1589143,1062293,2137665,1476978,939318,609436,4387544,3935500,4644218,2344121,10974001,2562593,1582424,1618002,3023370,2216751,3477595,7077275,3466608,827607,3843850,7292754,962339,2643388,5953425,2190562,2236877,2504198,3638850,2930567,1933755,2331680,742572,3176717,1505369,1452885,2568144,5304234,2082911,599644,1381777,860107,865726,3124495,297667,1812175,1853767,567407,1681539,99064,369555,781834,1007220,710974,597069,965840,2191913,2486421,1709344,3026641,220557,31447911,2140913,1977296,2035279,4525875,3391014,3982534,4110739,2507951,3571891,1569366,4995806,5476975,3748046,6539079,5694605,1098315,10815369,2498535,6644718,12066806,2049933,2741208,736797,1198451,764291,669370,626508,445925,1821266,5105033,3304479,844463,3578521,10191874,1577869,199475,4506878,2480755,451056,1476026,4556834,1971701,5046217,2968405,13439371,1804681,8314171,11125857,2154935,2128906,10921925,1340927,967881,1329890,1148012,560400,1345400,1435900,1552300,2828800,433300,1100500,8355300,3276000,1676500,2603300,3335400,2398728,2721899,2253590,3555017,858734,331485,927379,780554,1164060,678254,1080729,627320,900464,370820,613827,863261,1547314,839487,708929,1059706,941843,424123,1587055,2423764,2184439,2234380,933375,1266032,599548,2972696,564833,1138433,1863186,1028931,1461455,1642742,1047863,2353301,3238064,1124945,1083289,2540533,3302049,2269462,1622515,3110628,3161499,2554591,3203118,1701515,3614636,4051843,3040389,850379,3012938,940534,14953683
2005,662904,1936539,3673460,2187735,2312084,1925974,4491578,6945576,1420018,153687,278448,1034024,849515,934780,578975,4108565,770727,1492569,974894,2069847,1445442,903619,596130,4138848,3834226,4608331,2296087,10643059,2570355,1571476,1603661,2923307,2177132,3363752,6464522,3424949,789215,3450864,6795568,975943,2593641,5848324,2150343,2150939,2420113,3499367,2905965,1943750,2293114,710533,2818259,1492004,1336703,407447,5057687,1954694,571901,1312396,826764,859346,2865595,286350,1849125,1732679,589664,1560266,99951,342349,788201,1002743,647398,568569,982117,2096488,2266290,1592193,2917648,216698,32315464,2297119,2017289,2115101,4612087,3323696,4149337,3958484,2502201,3693533,1659123,4860616,5324329,3745199,6245333,5618498,1100345,10621315,2549047,6777088,12318820,1797807,2832517,712446,1116025,742811,648704,555715,455789,1745440,4855879,3283026,855724,3447015,9740971,1468590,197592,4446517,2485407,466791,1428372,4303648,1898919,4899775,2879343,12487864,1737601,7963584,10375095,2019413,2066251,9816965,1152505,974104,1154657,1135771,421100,1194600,1199700,1651600,2726000,382500,979700,7673600,3081300,1459800,2498900,2925200,2179793,2550904,2148443,3408282,779458,307943,882607,733384,1067924,621583,1107963,573557,831336,334178,535171,812654,1514740,785372,696528,1009953,906425,738436,1822690,3134618,2402160,2866685,967247,1174853,734494,3742219,525237,1405840,2056552,1411850,1796256,1679346,1481462,2305037,4190076,931744,944276,2851506,3172194,2499865,1398571,3187838,4004840,2925487,4214506,4747633,2085360,4569533,3510940,785001,3305533,1001357,13358037
2004,588499,1865024,3539058,2147866,2222954,1891014,4323174,6774663,1413308,124626,235103,935386,719187,845672,486551,3863894,851651,1585099,916831,2048578,1414713,941632,597291,4030202,3696095,4407027,2202701,9995319,2518056,1566144,1600637,2841193,2125172,3224695,5923793,3320806,795446,3263114,6608063,947215,2534919,5708982,2177710,2051626,2408699,3435859,2828420,1911679,2215688,728401,2721423,1518171,1367784,2348778,4877155,1847232,552802,1283350,825537,847445,2421010,292828,1882167,1879731,559246,1302659,94311,298442,632750,650743,620052,513145,888895,2011649,2221999,1568575,2881464,223489,30635006,2169129,1907109,2092852,4592228,3490028,4010345,4049166,2552219,3695602,1652781,4785101,5414854,3686572,6088980,5383831,1071346,10488205,2390071,6607583,11775041,1766109,2608323,652796,1040885,715250,635014,534627,429548,1673207,4618933,2872881,825674,3487924,9493391,1425332,199493,4537707,2332065,471473,1352653,4270744,1957625,4716538,2747755,12061584,1721544,7752056,9702413,2005736,2089204,9932776,956858,932795,901420,1159227,438200,1252900,1227900,1612300,2669900,384000,869500,7217700,3007900,1509900,2546400,2936400,2047841,2397922,2043049,3283384,802672,278305,858753,698273,986095,618437,1133081,575759,729882,361058,535932,787110,1480162,720502,662491,948924,883796,475720,1585500,2173282,2134150,2021443,894509,660927,493047,2758367,588163,1414625,1696193,1053387,975631,1477741,1217906,2219262,2822901,766676,1009657,2399437,2977205,2264127,1048220,2777738,2627672,2153031,2859660,2936183,1314434,3930301,2352031,835890,2600661,928642,13554215
2003,581376,1770308,3344303,2204968,2314299,1854492,4156972,6705110,1401890,128590,239835,832907,546095,771612,453605,3024575,834240,1431460,917606,2069583,1440483,971727,656808,3852490,3416449,4112598,2119034,9387991,2364718,1525603,1561260,2733841,2005348,3079693,4984379,3188112,723908,2974050,6156772,906198,2462774,6043058,2196055,1967772,2466986,3414152,2681552,1840606,2110200,673964,2473180,1468641,1241798,2197896,4880070,1720918,540683,1295625,829201,852835,2531977,314175,2007667,1605267,519946,1224055,90940,406662,737899,885332,645799,525400,890210,1917171,2146559,1548620,2842556,214050,28172081,1989621,1914336,1969249,4570382,3135591,3698474,3830969,2530377,3685669,1608323,4626655,5155338,3597193,5792311,5284134,1034685,10861993,2380188,6259999,12026675,1897079,2221021,669568,1012746,755270,653236,562404,441249,1603754,4393526,2810090,869104,3438401,8882947,1426919,195528,4529876,2296715,427065,1300398,4087951,1914523,4565448,2674303,11710429,1676961,7575829,9493970,2009892,2101292,9858319,716418,918551,759476,1166784,458500,1363800,1237600,1523500,2909000,408700,742000,6724400,2873800,1552900,2238400,2909700,2037636,2414427,1987827,2954307,766450,241352,881271,636939,842431,553293,1018617,571757,589026,324261,520369,759488,1409247,655767,704794,1012033,971775,740000,1555000,2517000,2255000,2651000,878000,712000,727000,3025000,873000,1509000,1869000,1115000,992000,1459000,1333000,2367669,2914000,1007000,795000,2601000,3788000,2187000,1586000,2805000,3139000,2597000,3166000,3923000,1813000,3999000,2892000,575000,3244000,1077000,13456000
2002,549902,1672718,3218601,2112049,2193092,1818970,4022977,6618562,1355406,120804,223363,720649,374721,613715,468373,2534126,674262,1239006,1061422,2159420,1189231,890136,667652,3853320,3481489,4136165,2098969,9316635,2343069,1552503,1591971,2731556,2052558,3112812,4789135,3120176,699499,2753618,6262580,916594,2501572,5523633,2163317,1909532,2530171,3356787,2618781,1826395,2050995,651848,2250720,1419136,1146679,2147231,4609532,1726610,532461,1281256,836385,854671,2607484,307512,1955494,1608759,536610,1075262,90584,421136,729616,931049,637379,520097,859450,1861391,2088893,1529464,2819231,220074,29163619,2088434,1818723,1918369,4624884,3063096,3900751,3938787,2487872,3830937,1612053,4534063,4921559,3752992,6064866,5287375,1090895,10540621,2338251,6399748,12679839,2005238,2188639,655356,972009,792522,623849,539104,404401,1537284,4179130,2651003,782381,3426256,8572807,1344050,187239,4552818,2254043,391129,1197353,4028510,1897173,4415555,2602128,11251904,1624331,7347184,9217861,1975729,2105219,9674662,635330,934642,666218,1151379,417000,1289700,1295900,1444200,2653400,323000,864000,7003800,3081300,1469500,2333800,2988800,2125437,2354434,1958410,2991710,848610,250381,849978,629258,752833,535317,984217,548891,553904,349985,493091,736920,1352599,613733,678840,977438,950624,659000,1781000,2224000,2307000,3069000,1116000,1119000,636000,3000000,552000,1257000,1886000,1012000,1361000,1744000,1520000,2526000,2658000,844000,953000,2778000,3176000,6672000,1679000,3056000,3233000,6144000,3347308,3756000,1617000,4428000,2614000,883000,3191000,1121949,13501000
2001,531641,1706023,3248695,2019371,2114157,1832379,3942058,6436769,1307775,124673,232767,829647,417565,653189,469510,3008277,884933,1387196,1065142,2161483,1272267,836465,667422,3950384,3551786,4180129,2087803,9692206,2420265,1579685,1656137,2762172,2135176,3115950,4972431,3295122,715893,2574809,6508259,957299,2497902,5215057,2187122,1960541,2622096,3323331,2541969,1796308,1983713,727685,2546896,1516203,1124527,2259511,4657212,1729324,499283,1237043,813252,840522,2817515,309897,2119262,1603247,560490,1250665,88335,420772,720432,842402,652463,515819,835867,1859958,1986453,1488453,2753964,223992,28584237,2064397,1852379,1862442,4475665,3002774,3916569,3933897,2565886,3721275,1672448,4568351,4827808,3896194,6106874,5331623,1064443,10553766,2220813,6573120,13164753,2026236,2072265,632779,927941,788867,613687,515400,391400,1514038,3978183,2664297,788281,3405880,7793775,1317668,188699,4550700,2029584,388754,1089990,4068623,1810730,4252201,2527329,10666483,1566230,7079247,8726574,1917071,2078330,9388278,519667,878666,584969,1140070,480000,1284000,1289000,1416000,2693000,149000,829000,7086000,3040000,1409000,2408000,3106000,1960418,2272498,1914079,2905180,770623,281893,879998,596305,836432,534780,994292,545962,487914,337815,541277,708430,1311728,569820,667341,956611,940107,529000,1305000,2548000,2443000,2501000,1121000,989000,631000,2837000,429000,1211000,1991000,668000,1139000,1885000,1139000,2223000,2949000,1077000,805000,2691000,3825000,2378000,1860000,2793000,3071000,2678000,3539000,1943000,3236000,4142000,3139000,819000,3119000,1027923,14614000
2000,533605,1672392,3264419,1938111,1984303,1779705,3811618,6380618,1284522,124697,231599,776778,460408,692664,460989,2619395,965604,1395660,944394,2128969,1291457,880805,637488,3912583,3598147,4144135,2059024,9892642,2352683,1546270,1650081,2819234,2084418,3033778,5050173,3141984,734600,2659796,6456013,939721,2499163,4922938,2319417,2820761,2623056,3275629,2452883,1759279,1911844,631269,2521414,1530689,1132689,2212947,4651162,1705414,495192,1260638,819774,845657,3283013,320975,2271075,1677885,568651,1452183,87056,455739,721410,915670,665032,563773,885072,1842110,1898592,1447462,2702310,237871,25349596,2081292,1747441,2006791,4514633,3117713,3551544,3777149,2549059,3658233,1702484,4688533,5212082,4052537,6139721,5708130,1317385,10179455,2514393,5904391,12459977,1878147,1898183,614743,886036,805366,605459,509746,375661,1411536,3781991,2532630,772023,3501160,7216637,1261908,184356,4566369,1834200,354474,1083078,3958302,1722114,4109047,2447245,10183465,1522381,6855032,8311181,1872231,2068131,9100807,433953,890267,513567,1146157,411000,1239000,1282000,1492000,2869000,369000,858000,7221000,3150000,1491000,2224000,3269000,2008338,2359114,1975038,3049347,752224,256679,863334,559643,868033,543035,980776,552564,520046,327108,568913,722535,1332007,524751,665309,940553,948280,691000,1591000,2800000,2226000,3389000,1004000,866000,566000,3496000,598000,1090000,2066000,910000,1134000,1540000,1224000,2648000,3439000,805000,1033000,2445000,3373000,2610000,1710000,3000000,4362000,2682000,3559000,1989000,3230000,3982000,3028000,895000,3286000,1029993,15312000
