geo\time,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,441,1487,529,2832,2393,1534,3295,6491,1332,205,250,575,819,548,556,856,805,1875,1001,2466,1377,972,618,1571,1449,2559,1244,4056,1951,956,917,1009,935,2337,798,1621,118,341,1701,493,1223,2987,976,901,1306,2469,1533,962,1066,268,1062,759,316,4190,1316,240,144,305,228,185,1310,1368,8993,4228,1121,4764,238,1611,2253,3780,506,1760,1725,304,159,243,663,74,2632,409,393,399,938,760,780,657,584,692,461,1466,1789,1000,2070,1981,452,3631,987,1971,3352,635,492,603,641,716,623,503,422,1995,5474,5739,1086,4182,7346,2384,454,5140,5025,749,2888,5669,4255,9675,2967,55366,5440,9190,12653,3900,4187,9226,1837,457,628,170,284,887,693,799,1311,102,268,1321,652,889,993,927,836,557,706,453,378,118,309,659,1773,687,1093,656,173,396,590,885,1893,220,726,1064,793,683,1870,5390,560,3031,744,504,738,4356,386,777,2598,910,1723,1608,1234,597,4149,493,618,2108,3277,3545,2981,2625,4734,6001,6440,6564,5302,1482,734,300,2198,2344,3475
2012,443,1470,518,2878,2374,1554,3255,6539,1335,192,244,528,745,525,524,845,814,1887,1023,2507,1385,968,628,1566,1479,2604,1248,4120,2010,968,954,1033,958,2370,791,1616,118,329,1692,502,1248,3015,1025,939,1358,2597,1537,969,1069,261,1075,767,308,4246,1321,242,145,305,230,187,1316,1368,8955,4201,1122,4762,241,1599,2253,3773,501,1754,1695,299,159,240,654,75,2633,404,429,410,948,777,799,767,620,698,473,1467,1801,988,2080,1997,456,3636,1002,1960,3306,623,474,661,662,718,648,491,417,2288,5810,5536,1058,4184,7039,2380,437,7108,4807,705,2740,4979,4104,10196,2928,56631,5089,8554,12415,3878,3954,8506,1637,480,632,158,217,659,486,608,962,88,195,1007,546,626,742,715,537,457,535,358,197,95,170,645,1403,659,735,555,156,386,574,883,1717,225,751,1115,816,676,1834,5383,514,2997,709,476,751,4399,370,745,2567,866,1711,1532,1209,599,4083,435,602,1983,3165,3504,2977,2260,4949,6030,6404,10785,2137,2005,833,361,2914,1154,2677
2011,439,1154,441,2867,2344,1559,3265,6595,1345,156,188,486,665,392,434,622,577,1452,778,2087,931,746,464,1509,1462,2542,1258,4285,2101,1007,969,1060,983,2462,777,1650,116,316,1706,509,1259,3049,1026,922,1344,2552,1638,1016,1152,269,1099,795,315,4378,1354,240,147,308,235,189,1372,1397,8999,4253,1132,4795,248,1597,2280,3793,526,1761,1690,277,153,217,587,75,2633,404,429,410,948,777,799,767,620,698,473,1468,1801,988,2080,1997,456,3638,1002,1960,3308,623,382,411,546,420,444,380,309,1689,5424,5292,1031,4144,6618,2373,424,6665,4689,667,2597,4849,4029,10266,2843,55892,4781,8413,12051,3849,3744,8506,538,492,641,157,218,672,491,631,991,85,201,1012,542,629,762,733,531,446,536,351,196,90,196,649,1197,604,974,534,155,377,513,463,534,193,648,976,722,669,1822,5378,394,3108,726,486,710,4405,370,827,2547,870,1740,1508,1185,585,4083,440,659,1929,3011,3236,2522,2288,4923,6029,6407,10785,2137,2005,833,361,2914,1154,2632
2010,452,1439,417,2903,2372,1573,3299,6530,1354,149,206,483,598,401,435,630,529,1423,714,2025,836,673,405,1495,1491,2534,1270,4376,2151,1017,994,1073,1015,2535,748,1586,113,317,1680,526,1288,3016,1057,935,1332,2622,1623,1015,1126,256,1084,798,312,4507,1369,226,142,296,218,184,1380,1474,9108,4635,1128,5215,269,1541,2441,3821,544,1803,1803,282,151,211,590,75,2632,401,439,413,952,786,805,768,626,699,478,1454,1806,971,2095,2006,463,3653,1006,1978,3292,621,383,437,547,477,447,383,280,1877,6040,5131,1017,4141,6376,2273,401,4420,4106,650,2597,4768,3914,10227,2848,53483,8627,8214,11643,3790,3587,8102,553,500,628,160,213,682,485,622,1001,85,190,1027,543,626,746,734,514,438,532,350,195,92,197,658,1188,554,1385,472,163,305,497,464,531,187,659,1006,739,669,1822,5378,394,3108,726,486,710,4405,370,827,2547,870,1740,1508,1185,585,4083,440,659,1929,3011,3236,2522,2288,4923,6029,6407,18619,3818,2204,984,410,3114,1151,2632
2009,453,1464,421,2874,2370,1600,3303,6557,1344,148,203,492,605,394,408,653,529,1462,777,2152,861,676,447,1493,1533,2552,1184,4435,2176,1034,993,1062,1005,2576,719,1560,102,307,1640,502,1297,2889,1061,883,1346,2651,1612,998,1098,264,1057,799,308,4485,1365,223,140,298,211,184,1387,1523,9048,4507,1117,5096,276,1423,2514,3841,508,1751,1731,288,150,218,590,75,2640,406,447,419,989,790,825,800,637,694,486,1446,1825,1024,2058,1993,478,3672,1057,1964,3309,622,382,421,544,489,477,383,297,2017,6457,4960,982,3995,6065,2160,339,4347,3907,623,2370,4329,3636,10235,2811,50463,9675,8579,11410,3684,2832,7956,556,485,559,165,223,699,495,630,1022,86,199,1025,557,632,749,734,521,422,531,341,190,91,203,645,1207,548,1311,457,154,283,474,471,529,188,687,1060,748,669,1822,5378,394,3108,726,486,710,4405,370,827,2547,870,1740,1508,1185,585,4083,440,659,1929,3011,3236,2522,2288,4923,6029,6407,18619,3818,2313,1194,418,3105,1130,2632
2008,445,1461,410,2956,2308,1586,3293,6667,1312,137,170,505,598,333,385,656,544,1485,808,2169,866,709,468,1529,1564,2605,1193,4551,2239,1065,1031,1093,1059,2620,656,1570,103,302,1674,522,1316,2846,983,863,1360,2697,1655,1014,1115,281,1060,802,307,4518,1394,222,141,301,210,184,704,405,1971,1538,392,1249,74,338,601,927,284,540,641,295,152,224,603,75,2614,400,453,426,1003,798,835,798,639,700,478,1426,1785,1022,2044,1944,461,3597,1074,1947,3326,631,328,393,532,513,477,383,298,2684,6746,4805,977,4024,5670,2035,317,3863,3612,610,2178,4134,3476,10305,2720,47741,9573,8397,11369,3553,3094,7810,542,503,491,162,222,704,509,653,1012,84,203,1031,545,637,754,742,538,445,540,346,188,94,200,585,1268,463,1258,449,164,255,442,467,521,186,674,1131,776,714,1829,5155,403,3085,782,381,756,3279,257,663,1865,942,1209,1481,1188,615,3343,449,687,1790,2618,2785,2167,2827,4008,5166,4003,18619,3818,2371,1213,428,3176,1130,1636
2007,441,1464,395,3013,2331,1645,3314,6801,1326,128,157,511,556,322,344,654,566,1539,821,2225,860,711,469,1517,1564,2644,1204,4587,2268,1086,1051,1104,1064,2637,589,1563,96,289,1673,511,1315,2791,979,768,1311,2614,1677,1036,1118,280,1015,809,296,4617,1403,218,148,305,211,193,695,391,1948,1525,385,1238,72,310,586,924,275,528,619,301,145,226,611,75,2575,409,438,421,997,814,846,804,644,704,491,1422,1791,1031,2051,1961,465,3604,1098,1953,3356,617,335,413,537,517,471,396,287,2537,6440,4662,991,3733,5317,1836,284,3468,2872,585,1644,3754,2721,10304,2696,44651,9812,8110,10796,3356,2900,6557,529,508,400,166,224,706,526,673,1026,84,207,1051,574,642,782,773,533,443,542,346,188,92,195,554,1209,459,1247,426,151,259,389,319,500,181,665,1093,736,714,1829,5456,490,3077,749,364,862,4660,301,939,1865,942,1209,1481,1188,615,3343,449,687,1452,2278,2478,1979,2827,4008,5166,4003,13260,2659,2187,1557,441,3575,1122,1636
2006,446,1484,396,3030,2342,1604,3300,6582,1273,117,129,520,540,249,289,619,548,1428,813,2179,853,711,465,1430,1517,2638,1190,4705,2350,1105,1095,1125,1112,2707,583,1621,95,289,1677,512,1348,2770,1030,799,1352,2726,1718,1051,1128,289,1033,850,308,4791,1445,217,151,305,212,191,699,394,1962,1537,365,1211,68,291,572,918,274,524,595,303,148,230,625,75,2565,411,444,419,1009,823,841,806,642,705,487,1416,1811,1055,2058,1977,464,3648,1124,1992,3383,623,321,476,531,567,497,373,291,2832,6269,4318,969,3470,5079,1666,247,3266,2696,543,1530,3452,2267,10264,2662,51877,9580,8309,10368,3179,2790,6181,515,519,393,179,216,697,532,673,1007,87,200,1034,545,634,767,762,519,454,535,345,174,94,203,543,1223,435,1278,433,139,250,409,264,443,155,489,828,571,751,1792,4472,553,2049,713,432,862,4660,301,939,1865,942,1209,1506,1409,369,3343,449,687,1529,2446,2841,1371,2827,4008,5166,4003,12694,2385,2298,1627,465,3686,1101,1636
2005,453,1469,389,3093,2348,1611,3318,6600,1267,97,105,488,356,222,287,597,553,1413,822,2192,849,709,470,1454,1537,2714,1199,4712,2322,1108,1117,1101,1108,2686,581,1650,98,293,1639,485,1350,2771,1067,815,1390,2799,1744,1060,1138,300,1038,858,311,5016,1459,223,148,307,215,197,707,399,1932,1522,362,1210,67,272,564,913,271,540,587,311,150,234,622,80,2554,407,444,420,1029,840,838,802,650,715,505,1427,1803,1050,2072,1987,472,3764,1142,1992,3417,634,331,503,543,584,488,368,300,2932,5933,4004,910,3292,4513,1571,215,2951,2352,521,1333,2955,1884,10216,2636,51315,9640,8282,9894,2942,2781,5729,524,545,418,179,217,681,513,675,1032,85,191,1035,549,622,789,771,515,461,526,341,164,94,199,480,993,402,1228,409,122,227,365,263,439,150,482,810,574,594,1351,4275,341,1087,490,275,791,4478,261,852,1737,752,1105,1228,1375,221,2817,286,506,1175,1804,2087,1119,2008,3055,4084,2858,12694,2385,2333,1624,461,3762,1127,923
2004,451,1456,387,3156,2362,1598,3328,6634,1237,64,83,468,268,179,244,598,561,1433,825,2173,847,714,489,1444,1583,2615,1152,4762,2347,1118,1119,1088,1103,2696,564,1678,96,289,1630,436,1328,2790,1115,798,1410,2900,1776,1065,1118,310,1039,881,308,4807,1429,226,149,310,217,201,704,406,1907,1507,357,1184,65,261,556,878,268,534,575,315,156,241,627,74,2558,392,453,426,1035,814,816,820,631,738,494,1419,1797,1057,2069,2023,478,3783,1160,1978,3392,588,336,438,536,566,446,372,307,3007,5780,3576,865,3002,4309,1461,205,2778,2172,416,1196,2545,1731,10180,2584,40155,9624,8260,9258,2726,2504,4980,529,560,343,199,214,667,479,659,1039,84,184,1028,563,594,775,794,498,454,500,343,160,86,198,427,914,342,1152,394,113,189,369,351,370,158,493,845,566,810,1902,5758,661,3499,799,478,904,5286,253,964,2517,1003,1644,2022,1889,391,4416,568,732,1903,2800,3203,1941,3136,5340,5945,5958,10620,1728,2383,1587,444,3656,1150,1468
2003,470,1457,376,3204,2382,1595,3345,6795,1290,57,82,321,214,164,221,594,587,1465,877,2259,886,755,503,1406,1518,2570,1123,4775,2313,1118,1112,1085,1064,2668,566,1642,91,276,1630,453,1294,2738,1157,814,1480,2922,1740,1052,1120,316,1005,852,299,4978,1431,226,147,312,217,199,702,403,1900,1452,353,1126,63,250,539,841,262,537,570,327,150,218,630,77,2571,393,451,435,1049,808,810,815,639,746,489,1420,1793,1054,2074,2019,480,3759,1142,1959,3351,586,399,528,657,631,513,425,364,3134,5837,3349,846,2710,4041,1387,180,2512,1839,416,1186,2111,1273,10179,2561,37556,9864,7978,8791,2575,2347,4527,488,584,326,198,180,622,448,618,1005,81,172,977,547,517,740,796,498,460,492,331,162,80,191,368,842,310,1081,365,94,183,326,385,418,164,499,866,555,791,1817,4648,650,3351,755,461,737,4270,238,813,2152,872,1150,1928,1571,393,3948,564,694,1868,2748,3005,1856,2644,4411,4885,5359,10620,1728,2356,1595,464,3617,1193,1578
2002,449,1437,372,3244,2366,1619,3385,6692,1321,59,83,272,164,143,193,566,603,1420,865,2266,882,754,513,1419,1572,2677,1138,4816,2373,1126,1121,1072,1057,2730,567,1658,90,274,1632,447,1287,2756,1148,790,1465,2918,1753,1048,1098,330,1024,862,295,5061,1449,224,144,314,219,203,699,401,1863,1354,331,1056,60,238,523,801,250,531,538,323,148,212,630,76,2563,400,448,430,1050,834,805,807,666,750,492,1427,1821,1061,2097,2042,480,3740,1153,1968,3326,575,396,500,623,620,458,421,369,2380,5432,3170,802,2761,3812,1292,167,2313,1599,450,1263,1819,1317,10139,2529,35593,9631,8173,8443,2439,2258,4268,476,600,297,196,178,622,456,614,999,81,180,981,539,500,744,768,495,457,466,331,153,74,195,342,791,295,1014,344,92,158,302,414,436,156,474,846,572,809,1924,4635,593,3116,710,400,713,4254,234,795,2101,855,1037,1971,1509,383,4012,523,693,1809,2601,2879,1776,3396,4928,4825,5482,10620,1728,1580,864,451,2309,1250,1582
2001,434,1437,372,3261,2348,1651,3361,6584,1276,56,77,258,146,120,182,527,631,1383,838,2262,874,691,497,1417,1589,2724,1124,4862,2344,1120,1132,1056,1070,2748,550,1573,89,271,1614,448,1297,2722,1183,847,1531,2966,1783,1048,1096,328,1044,879,303,5041,1492,219,144,316,224,204,762,404,1905,1383,320,1000,55,206,508,785,245,559,539,335,147,219,644,74,2349,401,390,414,1061,841,810,682,646,740,506,1413,1829,1058,2105,2043,480,3704,1156,1943,3274,570,402,423,567,528,428,362,334,2420,5617,2949,769,2414,3675,1255,161,2211,1428,430,1147,1515,1144,10092,2504,35207,9691,8147,8057,2257,2251,3956,493,591,274,214,171,627,455,584,965,80,180,983,517,479,724,744,450,413,468,323,148,69,180,322,744,262,1047,336,86,164,305,395,452,149,458,852,543,783,1830,4338,595,3078,705,397,527,4037,234,780,2022,858,1017,1910,1469,389,3854,527,690,1806,2546,2774,1732,3320,4703,4469,5148,9883,1679,1594,871,455,2319,1249,1575
2000,459,1460,371,3321,2337,1700,3457,6695,1282,53,75,239,128,102,167,502,613,1341,817,2208,835,668,485,1432,1629,2776,1147,4828,2351,1127,1144,1037,1072,2743,560,1539,89,259,1597,454,1331,2590,1190,806,1534,2951,1792,1040,1081,326,1028,873,311,5041,1514,218,144,317,215,200,763,404,1905,1383,320,1002,55,206,509,788,245,559,540,344,149,225,595,74,2318,396,383,679,1115,836,756,667,624,709,506,1431,1659,1060,2041,2045,482,3658,1151,1910,3273,605,398,456,558,497,505,426,295,2500,5431,2771,758,2328,3629,1226,167,2157,1529,420,1020,1405,1041,10057,2455,27550,9675,8125,7539,2091,2027,3604,494,606,232,249,158,606,425,569,958,80,184,985,533,484,703,759,448,420,473,329,148,63,168,292,742,250,1028,321,67,162,259,403,428,153,472,838,565,777,1799,4222,601,3090,708,402,695,3962,238,781,1997,869,1016,1899,1466,405,3808,539,696,1822,2541,2747,1726,3315,4631,4323,5021,9593,1670,3769,2361,461,4697,1263,1587
